millis,acc_x_c,acc_y_c,acc_z_c,gyro_x_c,gyro_y_c,gyro_z_c,imu_temp_c,acc_x_l,acc_y_l,acc_z_l,gyro_x_l,gyro_y_l,gyro_z_l,imu_temp_l,acc_x_r,acc_y_r,acc_z_r,gyro_x_r,gyro_y_r,gyro_z_r,imu_temp_r,obj_temp,amb_temp
37913, 0.638, -0.262, 0.793, -5.371, 2.625, -0.305, 25.924, -0.700, -0.705, 0.044, 20.386, -1.892, 0.732, 23.423, 0.036, 0.588, -0.848, 10.742, -3.784, 10.864, 21.126, 23.970, 20.650
37948, 0.631, -0.278, 0.794, -6.042, 4.761, -0.488, 25.936, -0.699, -0.708, 0.098, 3.784, 3.174, -5.188, 23.387, 0.015, 0.598, -0.863, 13.672, 5.432, -1.099, 21.126, 23.990, 20.650
37981, 0.604, -0.311, 0.800, -5.066, 4.150, -0.427, 25.915, -0.661, -0.710, 0.112, 7.385, 1.465, -6.287, 23.396, 0.013, 0.558, -0.901, 11.292, 6.042, -0.549, 21.117, 23.990, 20.650
38016, 0.598, -0.314, 0.808, -2.502, 2.686, -0.916, 25.906, -0.657, -0.715, 0.115, 4.578, 1.831, -2.625, 23.399, 0.070, 0.571, -0.890, 7.690, 1.099, -2.136, 21.117, 23.990, 20.650
38049, 0.604, -0.292, 0.803, -1.099, 1.526, -1.282, 25.918, -0.672, -0.717, 0.097, 2.563, 3.113, -2.502, 23.405, 0.019, 0.569, -0.859, 4.761, 7.263, -18.799, 21.111, 23.990, 20.650
38082, 0.617, -0.292, 0.796, -1.587, 1.038, -0.549, 25.930, -0.683, -0.715, 0.101, 2.197, 3.296, -1.648, 23.399, -0.029, 0.573, -0.873, 8.728, 9.827, -21.301, 21.105, 23.990, 20.670
38117, 0.621, -0.290, 0.801, -1.831, 0.916, -1.465, 25.918, -0.685, -0.714, 0.095, 4.822, 3.113, -1.404, 23.369, -0.072, 0.562, -0.880, 5.005, 10.010, -11.353, 21.114, 23.990, 20.670
38150, 0.626, -0.285, 0.798, -2.258, 1.038, -1.770, 25.909, -0.677, -0.715, 0.107, 5.371, 2.441, 0.732, 23.369, -0.035, 0.562, -0.859, 4.395, -1.404, 4.822, 21.132, 23.990, 20.670
38183, 0.615, -0.297, 0.797, -2.991, 1.343, -1.099, 25.936, -0.679, -0.720, 0.112, 3.479, 1.282, 0.549, 23.381, 0.004, 0.572, -0.872, 6.531, -1.160, 1.343, 21.135, 23.990, 20.650
38218, 0.617, -0.299, 0.796, -2.441, 0.916, -0.366, 25.924, -0.677, -0.711, 0.110, 1.221, 1.099, -0.122, 23.360, -0.037, 0.564, -0.883, 7.385, 5.920, -0.427, 21.147, 23.970, 20.650
38251, 0.621, -0.292, 0.787, -1.404, 0.732, -0.854, 25.897, -0.675, -0.702, 0.113, 1.099, 0.671, 1.282, 23.363, -0.021, 0.573, -0.869, 4.700, 2.319, 6.836, 21.123, 23.970, 20.650
38284, 0.611, -0.278, 0.798, -1.160, 0.854, -1.038, 25.939, -0.677, -0.709, 0.094, -1.587, 0.793, 4.517, 23.366, 0.002, 0.571, -0.852, 5.127, -0.305, 2.808, 21.129, 23.970, 20.630
38320, 0.609, -0.277, 0.792, -1.831, 0.793, -0.610, 25.909, -0.681, -0.705, 0.082, 1.648, 1.038, -0.061, 23.330, -0.020, 0.566, -0.854, 7.446, 4.639, 1.160, 21.114, 23.930, 20.630
38353, 0.620, -0.278, 0.797, -2.747, 0.793, -0.671, 25.921, -0.676, -0.700, 0.094, 2.808, 0.732, -0.244, 23.354, -0.010, 0.572, -0.859, 9.827, 3.540, 4.333, 21.114, 23.930, 20.670
38386, 0.621, -0.293, 0.800, -1.770, -0.244, -1.465, 25.912, -0.687, -0.717, 0.115, -1.709, 0.427, 3.052, 23.360, 0.007, 0.583, -0.882, 13.733, -2.319, 3.357, 21.114, 23.930, 20.670
38421, 0.625, -0.303, 0.797, -1.831, 0.427, -0.244, 25.930, -0.689, -0.712, 0.106, -1.587, 0.061, 2.747, 23.366, -0.028, 0.567, -0.888, 6.470, 7.385, -4.639, 21.141, 23.930, 20.670
38454, 0.630, -0.293, 0.794, -1.343, 0.183, -0.793, 25.909, -0.691, -0.706, 0.108, 0.610, 0.488, 0.610, 23.351, -0.047, 0.561, -0.876, 6.592, 4.150, 7.202, 21.129, 23.930, 20.670
38487, 0.630, -0.286, 0.791, -1.770, 1.282, -0.854, 25.930, -0.690, -0.700, 0.101, -1.038, 0.427, 2.930, 23.348, 0.010, 0.581, -0.860, 4.700, -1.465, 8.179, 21.153, 23.930, 20.670
38522, 0.622, -0.285, 0.792, -1.221, 0.793, -1.160, 25.927, -0.687, -0.701, 0.097, -1.343, 0.732, 4.944, 23.357, 0.008, 0.588, -0.862, 6.775, 4.211, -4.517, 21.129, 23.930, 20.670
38555, 0.625, -0.273, 0.791, -1.343, 0.122, -1.099, 25.939, -0.685, -0.703, 0.089, -1.404, 0.122, 4.944, 23.363, -0.081, 0.542, -0.846, 12.390, 7.324, -5.005, 21.123, 23.930, 20.650
38590, 0.618, -0.284, 0.793, -3.052, 0.122, -1.892, 25.915, -0.686, -0.699, 0.104, 0.366, -0.122, 5.798, 23.366, -0.066, 0.542, -0.869, 15.076, -5.371, 19.775, 21.132, 23.930, 20.650
38623, 0.628, -0.291, 0.798, -1.526, -1.892, -3.296, 25.939, -0.690, -0.694, 0.103, -3.723, -0.854, 10.498, 23.366, -0.068, 0.570, -0.904, 13.306, -10.925, 31.250, 21.117, 23.910, 20.650
38657, 0.631, -0.278, 0.785, -2.197, -0.854, -2.502, 25.921, -0.698, -0.696, 0.111, -9.888, -2.075, 13.000, 23.366, 0.005, 0.555, -0.873, 4.456, -19.409, 43.091, 21.126, 23.910, 20.610
38692, 0.619, -0.287, 0.789, -1.709, 0.854, -3.784, 25.930, -0.709, -0.680, 0.083, -12.024, 2.258, 16.785, 23.363, 0.083, 0.601, -0.890, -1.709, -14.038, 28.320, 21.150, 23.910, 20.610
38725, 0.625, -0.280, 0.787, -0.488, 0.793, -3.174, 25.930, -0.727, -0.676, 0.093, -12.817, 2.563, 15.808, 23.366, 0.007, 0.535, -0.849, 0.305, -1.038, -2.747, 21.111, 23.850, 20.610
