millis,acc_x_c,acc_y_c,acc_z_c,gyro_x_c,gyro_y_c,gyro_z_c,imu_temp_c,acc_x_l,acc_y_l,acc_z_l,gyro_x_l,gyro_y_l,gyro_z_l,imu_temp_l,acc_x_r,acc_y_r,acc_z_r,gyro_x_r,gyro_y_r,gyro_z_r,imu_temp_r,obj_temp,amb_temp
161346, 0.301, 0.004, 0.713, -22.400, 24.963, -25.452, 23.899, 0.004, -0.716, -0.357, -46.936, 9.277, -1.282, 21.779, 0.169, 0.529, -0.705, 28.564, 1.404, 71.106, 19.706, 24.150, 17.390
161380, 0.148, -0.086, 0.606, -12.756, -3.540, -8.179, 23.884, 0.185, -0.593, -0.333, 26.917, 1.221, -0.549, 21.809, 0.066, 0.334, -0.624, -20.447, 1.709, -28.198, 19.718, 24.150, 17.370
161416, 0.430, -0.162, 0.338, -16.846, -20.020, -12.817, 23.875, 0.271, -0.413, -0.005, 64.026, 25.757, -6.775, 21.821, -0.325, 0.333, -0.403, -45.837, 16.541, -93.201, 19.706, 23.910, 17.370
161450, 0.557, -0.262, 0.274, -12.573, -11.108, -33.813, 23.866, 0.247, -0.282, 0.191, 19.226, 41.138, 7.446, 21.794, -0.199, 0.349, -0.424, -45.105, -33.630, -22.339, 19.709, 23.910, 17.390
161484, 0.415, -0.062, 0.462, 2.747, -10.132, -52.002, 23.884, 0.061, -0.499, -0.094, -41.382, 36.438, 32.166, 21.800, -0.087, 0.418, -0.406, 9.705, -82.458, 79.590, 19.709, 23.910, 17.390
161527, 0.342, 0.055, 0.560, 6.531, -21.606, -35.278, 23.872, -0.037, -0.686, -0.191, 11.108, 14.465, 40.283, 21.809, 0.226, 0.539, -0.535, 42.358, -33.386, 98.755, 19.691, 24.390, 17.390
161561, 0.405, 0.063, 0.599, 15.930, -29.846, -24.231, 23.851, -0.046, -0.642, -0.199, 30.945, 3.418, 42.480, 21.791, 0.138, 0.638, -0.534, -24.658, -2.197, -27.039, 19.712, 24.390, 17.410
161595, 0.522, 0.157, 0.299, 30.273, -39.063, -22.766, 23.887, -0.231, -0.545, 0.055, 42.725, -1.465, 49.011, 21.791, -0.082, 0.547, -0.196, -76.294, -0.732, -58.228, 19.700, 24.390, 17.410
161631, 0.856, 0.530, -0.114, 37.292, -19.958, -18.738, 23.893, -0.711, -0.669, 0.716, 45.715, 63.660, 49.316, 21.806, -0.482, 0.828, 0.543, -65.613, 34.058, -53.223, 19.700, 24.210, 17.410
161665, 1.425, 0.833, -0.135, 10.010, -15.869, -6.348, 23.875, -0.960, -1.031, 0.471, -21.667, 13.062, 8.728, 21.791, -0.595, 1.135, 0.667, -22.156, 9.094, -22.034, 19.724, 24.210, 17.330
161701, 1.508, 0.971, 0.296, 13.123, -22.766, 22.400, 23.875, -1.167, -1.479, 0.437, -8.606, -16.968, -36.438, 21.785, -0.565, 1.520, 0.129, 124.329, -19.775, -19.409, 19.724, 24.210, 17.330
161735, 1.613, 0.927, 0.190, -40.161, 20.081, 63.904, 23.866, -0.991, -1.498, 0.439, 11.963, -30.090, -67.932, 21.794, -0.437, 1.504, -0.066, 82.825, -16.479, -16.113, 19.697, 22.410, 17.330
161769, 1.488, 0.410, 0.336, -57.190, 38.086, 81.421, 23.863, -0.506, -1.273, 0.546, 16.296, -35.889, -91.248, 21.815, -0.672, 1.385, -0.326, 53.406, 59.143, -74.768, 19.703, 22.410, 17.390
161805, 1.449, 0.232, 0.449, -25.696, 34.729, 61.768, 23.884, -0.324, -1.256, 0.481, -0.610, -29.663, -64.026, 21.785, -0.740, 1.267, -0.417, 54.565, 28.809, -41.016, 19.694, 23.870, 17.390
161839, 1.400, 0.217, 0.452, -6.104, 22.461, 50.842, 23.890, -0.264, -1.258, 0.432, -11.414, -31.433, -52.002, 21.821, -0.595, 1.262, -0.516, 61.646, 24.292, -10.193, 19.688, 23.870, 17.390
161873, 1.274, 0.136, 0.479, 3.906, 27.771, 41.443, 23.881, -0.155, -1.181, 0.349, -13.855, -32.654, -41.016, 21.785, -0.612, 1.115, -0.559, 21.362, 50.232, -29.175, 19.721, 23.870, 17.370
161909, 1.125, 0.022, 0.422, 7.812, 34.851, 26.367, 23.896, -0.035, -0.986, 0.335, -11.658, -23.376, -24.902, 21.797, -0.551, 0.923, -0.518, 5.432, 54.565, -4.761, 19.694, 24.050, 17.370
161943, 0.914, -0.038, 0.425, 23.254, 41.565, 11.414, 23.869, 0.055, -0.795, 0.251, -29.053, -27.893, -7.263, 21.797, -0.378, 0.761, -0.483, -6.104, 53.345, 12.817, 19.730, 24.050, 17.370
161977, 0.654, -0.055, 0.643, 35.217, 30.457, -3.113, 23.869, 0.123, -0.781, -0.128, -65.735, -40.527, 8.545, 21.791, -0.060, 0.681, -0.678, 3.357, 39.978, 36.621, 19.709, 24.050, 17.370
162013, 0.226, -0.020, 0.798, 43.884, 24.231, -11.658, 23.905, 0.095, -0.741, -0.513, -18.127, -57.434, 28.198, 21.785, 0.208, 0.611, -0.804, -5.920, 26.428, 55.298, 19.685, 24.390, 17.370
162047, 0.238, 0.101, 0.532, 56.335, -22.766, 4.761, 23.866, -0.021, -0.475, -0.345, 48.218, -36.255, 46.082, 21.800, 0.176, 0.508, -0.417, -93.506, 33.142, -32.227, 19.721, 24.390, 17.390
162083, 0.378, 0.205, 0.224, 57.190, -26.001, -1.770, 23.875, -0.145, -0.426, -0.009, 41.260, -26.428, 50.781, 21.791, -0.141, 0.316, 0.014, -120.422, 51.086, -96.558, 19.712, 24.390, 17.390
162117, 0.451, 0.196, 0.220, 41.138, -17.334, 0.488, 23.869, -0.131, -0.447, 0.034, 15.320, -17.578, 18.188, 21.776, -0.175, 0.360, -0.015, -63.171, 22.217, -60.974, 19.715, 24.470, 17.390
162151, 0.430, 0.165, 0.352, 21.790, -19.836, -1.465, 23.872, -0.113, -0.543, -0.090, 13.428, -16.907, 15.503, 21.794, -0.175, 0.474, -0.219, 35.278, -25.757, 45.654, 19.721, 24.470, 17.350
162187, 0.548, 0.171, 0.354, 10.254, -26.672, 2.075, 23.869, -0.095, -0.626, -0.019, 22.339, -9.033, 18.372, 21.785, -0.033, 0.672, -0.251, 40.771, -21.667, 59.631, 19.691, 24.470, 17.350
162221, 0.607, 0.178, 0.439, 6.775, -32.837, -2.319, 23.884, -0.148, -0.741, -0.016, 23.987, 2.075, 20.325, 21.806, -0.172, 0.724, -0.354, -33.997, -2.319, -72.144, 19.715, 24.350, 17.350
162255, 0.825, 0.209, 0.178, -3.296, -32.104, 1.709, 23.869, -0.307, -0.750, 0.358, 55.298, 23.865, 19.409, 21.806, -0.698, 0.737, -0.032, -53.284, 9.277, -80.139, 19.685, 24.350, 17.370
162291, 1.363, 0.168, -0.117, -7.996, -20.630, -1.282, 23.866, -0.351, -0.845, 0.805, 22.034, 9.338, -2.563, 21.779, -0.707, 1.006, 0.156, -4.028, -55.420, -10.864, 19.703, 24.350, 17.370
162325, 1.646, 0.482, 0.337, 18.921, -31.189, -24.109, 23.881, -0.681, -1.300, 0.632, -23.254, 2.747, 24.902, 21.794, -0.718, 1.456, -0.149, 74.707, -22.400, 42.358, 19.685, 24.150, 17.370
162361, 1.631, 0.746, 0.345, -1.892, -0.732, -12.512, 23.872, -0.728, -1.741, 0.418, -14.404, -3.296, 7.874, 21.800, -0.748, 1.524, -0.185, 23.987, -33.813, 12.512, 19.694, 24.150, 17.390
162395, 1.683, 0.307, 0.142, -39.246, 23.987, 11.414, 23.887, -0.423, -1.246, 0.823, 36.682, 26.550, -25.574, 21.779, -1.000, 1.295, -0.168, -22.949, 43.457, -14.648, 19.679, 24.150, 17.390
162429, 1.572, 0.161, 0.277, -10.620, 22.766, -16.052, 23.878, -0.370, -1.092, 0.784, -22.278, 19.165, 2.625, 21.782, -0.774, 1.290, -0.206, 8.057, 3.723, 42.908, 19.688, 23.590, 17.390
162465, 1.402, 0.537, 0.347, 8.789, 25.085, -29.541, 23.866, -0.634, -1.326, 0.443, -45.898, 14.526, 18.738, 21.785, -0.505, 1.395, -0.100, 23.987, 7.141, 54.626, 19.694, 23.590, 17.370
162499, 1.364, 0.676, 0.401, -9.949, 25.452, -16.113, 23.851, -0.703, -1.410, 0.276, -26.306, 22.400, -6.409, 21.779, -0.472, 1.326, -0.034, 6.531, 26.245, 7.385, 19.715, 24.030, 17.370
162533, 1.305, 0.523, 0.384, -32.043, 26.062, 4.150, 23.866, -0.542, -1.271, 0.313, -9.827, 20.020, -28.564, 21.782, -0.528, 1.230, -0.137, 37.781, 18.127, 17.334, 19.676, 24.030, 17.370
162569, 1.187, 0.400, 0.374, -44.067, 37.781, 6.897, 23.863, -0.436, -1.102, 0.337, -20.264, 32.715, -43.884, 21.755, -0.422, 1.095, -0.204, 53.284, 15.137, 29.785, 19.691, 24.030, 17.370
162603, 1.029, 0.241, 0.439, -40.771, 40.283, 3.540, 23.863, -0.272, -1.011, 0.201, -33.447, 29.663, -54.626, 21.782, -0.308, 0.958, -0.359, 54.932, 17.761, 26.367, 19.676, 24.230, 17.370
162637, 0.904, 0.225, 0.492, -40.588, 41.138, -2.502, 23.863, -0.161, -1.007, 0.086, -34.363, 30.457, -56.396, 21.779, -0.292, 0.873, -0.417, 54.504, 22.766, 29.785, 19.721, 24.230, 17.370
