millis,acc_x_c,acc_y_c,acc_z_c,gyro_x_c,gyro_y_c,gyro_z_c,imu_temp_c,acc_x_l,acc_y_l,acc_z_l,gyro_x_l,gyro_y_l,gyro_z_l,imu_temp_l,acc_x_r,acc_y_r,acc_z_r,gyro_x_r,gyro_y_r,gyro_z_r,imu_temp_r,obj_temp,amb_temp
306651, 0.951, -0.258, 0.273, 12.085, 27.588, 19.287, 23.606, -0.458, -0.755, 0.451, -33.386, 7.080, -5.310, 22.168, 0.009, 0.860, -0.629, 43.884, 6.775, 17.090, 21.479, 19.230, 18.190
306687, 0.812, -0.294, 0.312, 5.798, 27.283, 10.986, 23.633, -0.364, -0.693, 0.319, -19.897, 14.771, -22.827, 22.168, 0.013, 0.696, -0.640, 26.184, 0.427, 4.456, 21.482, 19.230, 18.190
306721, 0.661, -0.265, 0.298, 6.287, 15.747, 6.897, 23.639, -0.276, -0.601, 0.283, -0.916, 8.301, -36.316, 22.162, 0.020, 0.596, -0.540, 7.996, 22.400, -15.869, 21.491, 19.230, 18.210
306755, 0.621, -0.243, 0.355, 6.470, 8.606, 9.644, 23.630, -0.246, -0.594, 0.163, 1.343, 8.789, -13.550, 22.165, 0.079, 0.521, -0.555, 4.700, 8.118, 1.038, 21.476, 19.190, 18.210
306792, 0.455, -0.243, 0.409, 8.240, -1.221, 1.343, 23.627, -0.228, -0.526, 0.076, 16.357, 8.484, -6.775, 22.171, 0.145, 0.455, -0.538, -0.793, 9.888, -0.793, 21.491, 19.190, 18.190
306826, 0.417, -0.143, 0.230, 15.198, -14.954, -17.151, 23.627, -0.236, -0.417, 0.204, 30.457, -6.409, -15.137, 22.177, 0.044, 0.485, -0.381, -18.311, 10.986, -35.889, 21.491, 19.190, 18.190
306860, 0.578, -0.060, 0.119, 7.874, -17.334, -11.963, 23.630, -0.253, -0.368, 0.278, 32.349, -5.737, -10.925, 22.168, -0.065, 0.450, -0.199, -28.442, 2.197, -34.729, 21.482, 19.230, 18.190
306896, 0.583, -0.064, 0.160, -4.883, -18.860, 4.272, 23.639, -0.296, -0.398, 0.334, 23.010, -10.742, 8.179, 22.162, -0.205, 0.487, -0.259, -0.488, 7.935, -33.020, 21.473, 19.230, 18.190
306930, 0.728, -0.087, 0.131, -13.062, -22.766, 11.963, 23.618, -0.389, -0.475, 0.473, 14.099, -22.339, 18.982, 22.177, -0.139, 0.687, -0.326, 1.404, -3.784, -12.573, 21.452, 19.230, 18.190
306965, 0.968, -0.150, 0.169, -24.231, -24.048, 27.710, 23.624, -0.439, -0.608, 0.580, 5.249, -33.081, 30.090, 22.171, -0.162, 0.844, -0.432, 2.258, -11.047, 0.671, 21.482, 19.190, 18.190
307001, 1.066, -0.449, 0.156, -16.174, -20.142, 25.146, 23.624, -0.353, -0.751, 0.696, 3.052, -28.870, 11.597, 22.168, -0.313, 0.959, -0.760, 20.447, 25.024, -23.010, 21.500, 19.190, 18.190
307035, 1.302, -0.530, 0.083, -5.859, -14.893, 8.240, 23.642, -0.336, -0.933, 0.937, 7.629, -17.395, -6.836, 22.174, -0.403, 1.209, -0.828, -1.709, 10.864, -5.737, 21.479, 19.190, 18.190
307071, 1.620, -0.487, 0.261, -5.371, -16.968, 12.512, 23.603, -0.601, -1.128, 0.995, -22.705, -28.320, 71.777, 22.177, -0.390, 1.423, -0.915, 2.502, 16.418, 4.211, 21.485, 19.230, 18.190
307105, 1.702, -0.735, -0.003, -2.197, 4.089, -18.799, 23.609, -0.565, -1.207, 1.070, 0.061, 0.122, 18.250, 22.186, -0.659, 1.378, -1.061, -2.930, 12.451, -18.005, 21.488, 19.230, 18.170
