millis,acc_x_c,acc_y_c,acc_z_c,gyro_x_c,gyro_y_c,gyro_z_c,imu_temp_c,acc_x_l,acc_y_l,acc_z_l,gyro_x_l,gyro_y_l,gyro_z_l,imu_temp_l,acc_x_r,acc_y_r,acc_z_r,gyro_x_r,gyro_y_r,gyro_z_r,imu_temp_r,obj_temp,amb_temp
81318, 0.796, 0.306, 0.620, -1.648, 2.136, 0.366, 24.786, -0.376, -0.915, 0.104, 3.052, 1.465, 0.183, 21.692, -0.220, 0.908, -0.437, 6.226, 4.395, 0.732, 19.931, 25.850, 19.830
81350, 0.799, 0.308, 0.621, -1.587, 2.441, -0.183, 24.804, -0.382, -0.912, 0.108, -0.183, 1.648, -0.977, 21.683, -0.217, 0.918, -0.430, 7.874, 3.540, 0.366, 19.946, 25.850, 19.830
81384, 0.793, 0.308, 0.627, -2.197, 2.380, 0.122, 24.810, -0.373, -0.921, 0.089, 1.099, 2.136, -1.343, 21.686, -0.218, 0.907, -0.436, 7.141, 3.845, -1.770, 19.931, 25.850, 19.850
81416, 0.789, 0.300, 0.632, -2.258, 1.648, -0.366, 24.795, -0.365, -0.920, 0.090, 3.113, 2.502, -1.221, 21.710, -0.217, 0.906, -0.446, 8.606, 3.906, 0.916, 19.934, 25.850, 19.850
81448, 0.786, 0.301, 0.630, -1.892, 1.160, -0.366, 24.801, -0.370, -0.914, 0.090, 3.662, 2.136, 0.305, 21.701, -0.204, 0.913, -0.445, 6.653, 2.258, 2.563, 19.949, 25.850, 19.850
81482, 0.779, 0.298, 0.633, -1.282, 0.427, -0.305, 24.810, -0.369, -0.902, 0.096, 4.761, 1.343, -0.244, 21.680, -0.199, 0.899, -0.432, 3.845, 3.479, -3.296, 19.943, 25.850, 19.850
81514, 0.777, 0.294, 0.633, 0.000, 0.427, -0.183, 24.804, -0.362, -0.906, 0.088, 2.869, 0.854, 0.916, 21.686, -0.184, 0.905, -0.449, 3.601, 3.357, 0.549, 19.937, 25.850, 19.850
81546, 0.766, 0.308, 0.629, 1.160, 1.221, 0.488, 24.819, -0.383, -0.895, 0.088, 3.235, 0.488, 2.625, 21.698, -0.170, 0.912, -0.434, -3.235, 4.211, -6.042, 19.943, 25.810, 19.850
81581, 0.764, 0.324, 0.625, 2.502, 1.465, 2.319, 24.825, -0.390, -0.896, 0.081, 0.427, 0.122, 2.441, 21.707, -0.176, 0.910, -0.418, -7.874, 9.827, -12.146, 19.934, 25.810, 19.830
81613, 0.766, 0.315, 0.620, 2.991, 2.930, 3.967, 24.804, -0.389, -0.895, 0.086, -0.793, -2.686, 4.639, 21.701, -0.186, 0.904, -0.388, -9.521, 11.963, -17.090, 19.931, 25.810, 19.830
